광역시도,자치구,연도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량
서울시,마포구,2011,1549.7,1383.1,185.3,51.2,124.3,124.3,,,1240.1,1207.6,4.5,1.7
서울시,마포구,2012,2146.5,1984.4,164.2,39.9,115.4,115.4,88.7,78.6,1778.2,1750.5,25.8,3.4
서울시,마포구,2013,1430.1,1259.9,164.0,37.3,123.0,123.0,,,1143.1,1099.6,22.7,3.5
서울시,마포구,2014,1932.0,1714.1,326.3,198.8,131.8,131.8,86.9,49.0,1387.0,1334.5,24.5,3.7
서울시,마포구,2015,2184.7,1969.4,319.1,188.9,142.5,142.5,101.6,40.1,1621.5,1597.9,26.7,4.7
서울시,마포구,2016,1998.7,1789.4,325.4,190.2,131.2,131.2,102.1,39.2,1440.0,1428.8,25.7,4.6
서울시,마포구,2017,1944.3,1785.5,328.8,196.3,108.9,108.9,78.5,67.9,1428.1,1412.4,21.6,3.2
서울시,마포구,2018,1519.9,1290.0,348.4,202.8,91.1,91.1,72.2,67.0,1008.2,929.1,24.7,4.1
서울시,마포구,2019,1956.9,1748.7,381.1,189.5,96.4,96.4,63.5,62.1,1415.9,1400.7,22.5,4.7
서울시,서대문구,2000,,270.0,,163.0,,,,,,107.0,,
서울시,서대문구,2001,,304.0,,138.0,,,,,,165.0,,
서울시,서대문구,2002,,774.0,,145.0,,,,,,629.0,,
서울시,서대문구,2003,,865.0,,171.0,,,,,,694.0,,
서울시,서대문구,2004,,840.0,,122.0,,49.0,,,,669.0,,2.0
서울시,서대문구,2005,,706.0,,110.0,,98.0,,,,498.0,,2.0
서울시,서대문구,2006,,965.0,,50.0,,92.0,,,,824.0,,3.0
서울시,서대문구,2007,,700.0,,58.0,,91.0,,1.0,,550.0,,3.0
서울시,서대문구,2008,,936.0,,50.0,,90.0,,0.0,,797.0,,0.0
서울시,서대문구,2009,,1630.0,,125.0,,91.0,,0.0,,1415.0,,2.0
서울시,서대문구,2010,2606.8,2288.7,217.1,101.6,91.2,91.2,10.1,9.8,2288.4,2086.1,10.9,1.5
서울시,서대문구,2011,1160.5,984.5,205.7,107.9,85.7,85.7,16.2,15.5,852.9,775.4,30.1,2.9
서울시,서대문구,2012,1608.6,1426.1,175.1,76.3,88.5,88.5,16.0,15.1,1329.0,1246.2,11.1,1.5
