자치구,연도,쓰레기_배출량,쓰레기_매립량,쓰레기_소각량,쓰레기_재활용량,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량
마포구,2024,428716,14687,50783,361870,1.04,372745,142121,85360,26698,49895,5601,35718,26941,71,8694,248059,248059,1,-,2817,1511,816,392
서대문구,2020,286509,13788,34088,235557,0.88,322952,104413,64333,23205,28780,11300,3438,352,-,37,172749,170400,123,2226,5909,472,5185,226
서대문구,2021,364794,9116,36254,318891,0.84,315659,96768,57786,22253,30403,8512,1383,944,-,54,260077,259662,111,305,6565,499,5740,245
서대문구,2022,269447,8513,34678,223141,0.92,319554,107631,67206,22415,29038,8326,172,109,-,44,155327,155315,12,-,6317,512,5628,143
서대문구,2023,278431,5585,37180,231216,0.83,320629,97594,60677,22250,31484,5433,4362,21,-,51,169900,169900,-,-,6575,619,5696,102
서대문구,2024,196258,4601,36786,154096,0.86,318622,99837,63501,22621,31947,4288,751,310,-,41,89839,89757,83,-,5832,528,4756,272
서초구,2020,870369,30778,52896,785848,1.18,429025,184761,109206,57007,46581,28975,2669,1748,372,54,671999,670747,48,1204,10941,4148,5895,545
서초구,2021,1612209,27389,56482,1526715,1.17,416167,177110,108844,53786,49351,18095,9292,1033,304,7532,1413368,1412617,256,495,12439,4222,6570,1267
서초구,2022,1041663,23526,55398,960238,1.21,408451,180281,112992,52308,47902,17609,6002,3017,270,2293,839794,839678,116,-,15586,4552,7109,3624
서초구,2023,1347744,17252,56120,1272396,1.18,412078,178090,111677,50400,48674,16791,14327,13271,312,69,1143517,1143512,5,-,11810,3936,7129,392
서초구,2024,1224794,17004,54059,1149436,1.19,413076,180257,113288,49815,47403,16181,4951,4003,205,58,1027905,1027753,152,-,11681,4393,6299,766
성동구,2020,856107,100007,29498,677491,1.0,300505,110224,73914,28635,22839,9739,80560,31023,4225,103,660116,570186,140,89791,5207,2369,2294,374
성동구,2021,1335314,100078,26036,1172435,0.93,292672,99225,68206,27982,20456,10421,122136,83058,2605,76,1107885,1018574,27,89284,6068,2597,2948,298
성동구,2022,1087034,33898,29292,1002565,0.99,288234,104584,66623,27999,22459,15149,189274,157251,3922,7453,787883,776724,103,11056,5293,1967,2808,241
성동구,2023,950481,12525,37245,865243,1.03,284766,106823,68206,27661,30416,8083,96361,54545,4179,2460,742208,740360,-,1848,5088,2133,2651,134
