자치구,연도,쓰레기_배출량,쓰레기_재활용량,쓰레기_소각량,쓰레기_매립량,쓰레기_기타,생활폐기물_1인당배출량,주민수,생활폐기물_발생량,생활폐기물_재활용량,생활폐기물_일반재활용량,생활폐기물_음식물재활용량,생활폐기물_소각량,생활폐기물_매립량,생활폐기물_기타,사업장폐기물_발생량,사업장폐기물_재활용량,사업장폐기물_소각량,사업장폐기물_매립량,사업장폐기물_기타,건설폐기물_발생량,건설폐기물_재활용량,건설폐기물_소각량,건설폐기물_매립량,건설폐기물_기타,지정폐기물_발생량,지정폐기물_재활용량,지정폐기물_소각량,지정폐기물_매립량,지정폐기물_기타
마포구,2021,516703,389226,42378,16665,68434,1.44,378686,199008,79714,51252,28462,41372,10035,67887,25993,24879,90,579,445,283893,283396,161,335,0,7809,1237,755,5716,102
마포구,2022,641217,568963,43096,16907,12252,1.11,375585,152394,88134,58550,29584,42222,9994,12045,25892,23973,123,1604,193,455696,455618,79,0,0,7235,1239,673,5308,15
마포구,2023,534459,472953,44600,15913,993,0.99,375162,135308,83318,54544,28775,43555,7586,849,34226,26254,232,7741,0,362155,362105,51,0,0,2771,1277,763,586,144
마포구,2024,428716,361870,50783,14687,1376,1.04,372745,142121,85360,58662,26698,49895,5601,1266,35718,26941,71,8694,13,248059,248059,1,0,0,2817,1511,816,392,97
서대문구,2020,286509,235557,34088,13788,3076,0.88,322952,104413,64333,41128,23205,28780,11300,0,3438,352,0,37,3049,172749,170400,123,2226,0,5909,472,5185,226,26
서대문구,2021,364794,318891,36254,9116,533,0.84,315659,96768,57786,35533,22253,30403,8512,68,1383,944,0,54,385,260077,259662,111,305,0,6565,499,5740,245,81
서대문구,2022,269447,223141,34678,8513,3115,0.92,319554,107631,67206,44791,22415,29038,8326,3061,172,109,0,44,20,155327,155315,12,0,0,6317,512,5628,143,33
서대문구,2023,278431,231216,37180,5585,4450,0.83,320629,97594,60677,38427,22250,31484,5433,0,4362,21,0,51,4291,169900,169900,0,0,0,6575,619,5696,102,159
서대문구,2024,196258,154096,36786,4601,776,0.86,318622,99837,63501,40880,22621,31947,4288,101,751,310,0,41,399,89839,89757,83,0,0,5832,528,4756,272,276
서초구,2020,870369,785848,52896,30778,848,1.18,429025,184761,109206,52198,57007,46581,28975,0,2669,1748,372,54,495,671999,670747,48,1204,0,10941,4148,5895,545,352
서초구,2021,1612209,1526715,56482,27389,1623,1.17,416167,177110,108844,55057,53786,49351,18095,821,9292,1033,304,7532,424,1413368,1412617,256,495,0,12439,4222,6570,1267,379
서초구,2022,1041663,960238,55398,23526,2501,1.21,408451,180281,112992,60684,52308,47902,17609,1778,6002,3017,270,2293,423,839794,839678,116,0,0,15586,4552,7109,3624,301
서초구,2023,1347744,1272396,56120,17252,1976,1.18,412078,178090,111677,61277,50400,48674,16791,948,14327,13271,312,69,675,1143517,1143512,5,0,0,11810,3936,7129,392,353
서초구,2024,1224794,1149436,54059,17004,4295,1.19,413076,180257,113288,63473,49815,47403,16181,3385,4951,4003,205,58,686,1027905,1027753,152,0,0,11681,4393,6299,766,224
성동구,2020,856107,677491,29498,100007,49112,1.0,300505,110224,73914,45279,28635,22839,9739,3733,80560,31023,4225,103,45209,660116,570186,140,89791,0,5207,2369,2294,374,170
성동구,2021,1335314,1172435,26036,100078,36765,0.93,292672,99225,68206,40224,27982,20456,10421,142,122136,83058,2605,76,36397,1107885,1018574,27,89284,0,6068,2597,2948,298,225
성동구,2022,1087034,1002565,29292,33898,21278,0.99,288234,104584,66623,38624,27999,22459,15149,353,189274,157251,3922,7453,20648,787883,776724,103,11056,0,5293,1967,2808,241,276
성동구,2023,950481,865243,37245,12525,35468,1.03,284766,106823,68206,40545,27661,30416,8083,120,96361,54545,4179,2460,35177,742208,740360,0,1848,0,5088,2133,2651,134,171
성동구,2024,1027416,949977,35878,6383,35178,1.55,281289,159245,120565,93089,27476,30444,6175,2062,111943,75960,3014,52,32917,751281,751215,66,0,0,4947,2237,2354,156,200
성북구,2020,437406,391237,39448,6391,331,0.81,447056,132342,90004,58017,31987,37020,5206,112,2406,2398,2,6,0,299472,298377,55,1040,0,3186,457,2371,139,219
성북구,2021,617081,578489,33596,4240,756,0.85,440142,136000,100565,68936,31629,31140,3620,675,3657,3629,2,6,20,474185,473801,0,384,0,3239,494,2454,230,61
성북구,2022,587314,543497,32556,3314,7947,0.78,441984,125909,85083,51634,33449,29930,3031,7865,620,612,2,6,0,457253,457253,0,0,0,3533,549,2623,278,82
성북구,2023,319194,275854,41316,1558,466,0.77,438168,123724,83204,49463,33741,38734,1421,365,5042,5032,3,7,0,187081,187078,3,0,0,3347,540,2576,129,101
성북구,2024,363601,330333,30494,2223,552,0.74,435037,117738,87203,55025,32178,28119,1972,445,8729,8721,2,6,0,233845,233831,14,0,0,3289,578,2359,245,107
송파구,2020,1563519,1445356,47173,60628,10363,1.08,673926,266247,198010,121708,76302,35498,32302,438,31090,19702,1672,37,9679,1253053,1225285,2010,25758,0,13128,2358,7993,2531,246
송파구,2021,1109491,991123,51880,57750,8738,1.04,663965,253209,173237,100368,72869,40967,31434,7571,37277,34863,1242,41,1132,807419,780853,770,25797,0,11586,2170,8902,478,36
송파구,2022,909951,770847,51323,34028,53752,1.24,664514,301830,177052,105291,71761,39669,33624,51485,70684,65984,2612,0,2088,526477,526166,297,15,0,10960,1646,8746,389,179
송파구,2023,686606,565064,52582,25205,43755,1.09,660025,262182,156087,87724,68363,39356,24918,41821,83756,77380,4448,33,1896,329910,329617,293,0,0,10758,1982,8484,255,38
송파구,2024,732026,611677,59733,14974,45641,1.12,656310,268890,162401,96844,65558,48885,14789,42814,77516,70720,4020,0,2776,376512,376381,132,0,0,9108,2176,6696,185,51
양천구,2020,458040,394798,34766,28433,43,0.86,457781,144360,104623,72041,32582,33003,6734,0,15876,514,4,15357,0,291869,288996,128,2746,0,5935,665,1631,3596,43
양천구,2021,400459,335110,32020,31715,1616,0.78,450487,128894,86602,54322,32280,30053,10819,1420,18134,730,11,17360,33,249536,247131,54,2351,0,3896,647,1902,1184,163
양천구,2022,306957,242863,35709,25392,2993,0.76,444010,123688,80582,47876,32706,33872,6324,2911,26016,7159,40,18755,62,154450,154447,4,0,0,2803,675,1794,314,21
양천구,2023,247774,189182,31874,26215,503,0.72,439252,115678,78725,48748,29977,29907,6779,266,21244,1842,209,19129,64,107829,107829,0,0,0,3023,786,1758,308,172
양천구,2024,332820,261323,35318,26046,10133,0.77,434351,121756,72237,42695,29542,33545,6453,9522,19846,438,51,19254,103,187835,187832,3,0,0,3383,817,1719,339,508
영등포구,2020,789191,725302,47526,13029,3334,1.1,407367,164492,108772,58838,49934,44477,9801,1442,20695,20504,4,0,187,598226,594970,451,2804,0,5778,1056,2595,423,1705
영등포구,2021,703046,643041,35268,21485,3252,1.1,400908,161206,112103,64107,47997,32519,14311,2274,16433,15922,3,433,74,520027,513877,50,6100,0,5380,1139,2696,641,904
영등포구,2022,825651,762953,42534,13450,6715,1.15,398085,167303,113275,65114,48162,39621,13033,1375,31221,26187,126,156,4751,622319,622241,78,0,0,4808,1250,2708,261,589
영등포구,2023,567119,510750,43506,11152,1710,1.15,397800,166688,114964,66360,48604,40194,10454,1076,16535,16149,2,322,62,379065,378282,783,0,0,4831,1354,2528,376,573
영등포구,2024,593281,538286,44896,8177,1923,1.09,397173,158377,106906,60696,46210,42491,7829,1150,16008,15870,4,74,60,414191,414156,35,0,0,4706,1354,2366,273,713
용산구,2020,385259,340570,30149,14352,189,1.23,244645,110255,72190,48882,23308,28417,9575,73,5023,4709,292,0,22,267005,262272,87,4646,0,2976,1400,1353,130,93
용산구,2021,570680,528210,31323,10742,405,1.24,237285,107173,68334,45669,22665,29489,9113,237,204139,203377,560,79,123,257038,255678,69,1291,0,2331,821,1206,259,45
용산구,2022,949707,908379,34096,6981,251,2.54,233284,216363,178471,153510,24960,31172,6511,209,365558,365180,378,0,0,365184,363958,1226,0,0,2603,770,1321,470,42
용산구,2023,861824,821744,34370,5124,585,2.52,227106,208742,171993,149004,22989,31658,4979,111,240879,240358,499,0,22,409386,408357,1029,0,0,2818,1037,1185,144,452
용산구,2024,424047,385534,33855,3752,907,1.31,217194,103895,67515,42197,25318,32618,3506,257,43457,43190,37,0,230,274422,274278,144,0,0,2273,552,1056,245,420
은평구,2020,789221,725762,21066,42295,99,0.79,484043,139243,81603,52496,29107,19271,38299,71,1442,1442,0,0,0,645555,642091,68,3396,0,2980,625,1727,600,28
은평구,2021,477969,419258,16714,41301,696,0.79,477173,138304,83540,55091,28450,14275,40420,69,82,72,0,0,10,335679,334977,119,584,0,3905,669,2321,298,617
은평구,2022,481162,422105,18692,39645,721,0.75,470602,128783,72461,44847,27614,16763,38861,698,35,35,0,0,0,349009,348856,63,90,0,3336,754,1866,694,23
은평구,2023,395945,343488,18170,34071,216,0.72,470869,123761,74038,47526,26512,16353,33351,20,10304,10151,0,0,153,258426,258426,0,0,0,3455,873,1818,720,44
은평구,2024,618816,560680,26930,31055,150,0.75,465350,127441,72827,46712,26115,24803,29811,0,12231,11603,55,457,116,475666,475336,330,0,0,3478,915,1742,787,35
종로구,2020,349122,301317,35278,11765,762,1.66,158996,96692,56165,28337,27828,30536,9466,525,536,375,4,5,153,244977,242946,23,2008,0,6916,1831,4715,286,84
종로구,2021,427101,381765,35832,8601,903,1.49,153789,83878,45404,20135,25269,30427,7518,529,575,448,35,5,87,334984,334066,28,890,0,7666,1847,5342,189,287
종로구,2022,388017,338310,41873,7126,707,1.88,152211,104369,62003,33722,28281,35421,6635,310,964,577,167,3,217,275856,274483,1373,0,0,6828,1247,4913,488,180
종로구,2023,326233,273087,40532,6173,6441,1.77,150453,97419,54632,25469,29163,35774,5645,1368,5548,567,8,3,4970,216598,216454,33,111,0,6669,1434,4718,414,103
종로구,2024,280518,235251,40086,4061,1121,1.81,149608,98887,58688,29130,29559,35903,3869,427,2447,1746,98,17,587,173592,173540,52,0,0,5592,1277,4033,175,107
중구,2020,568669,505466,49978,13102,124,2.66,134635,130842,72461,43148,29313,47006,11375,0,3891,3272,611,0,7,430202,428720,208,1274,0,3734,1013,2152,453,117
중구,2021,425458,362298,51890,11014,256,2.26,131787,108816,50113,21472,28641,48862,9611,229,703,623,75,6,0,311695,310374,281,1040,0,4244,1189,2672,356,27
중구,2022,441836,387027,45657,8793,359,2.49,130785,118766,66571,31899,34672,43571,8318,306,572,526,46,0,0,319051,319040,11,0,0,3446,890,2028,475,53
중구,2023,349138,293220,47049,6946,1924,2.75,131793,132481,78731,41777,36954,45292,6595,1862,299,256,35,0,8,213607,213582,25,0,0,2752,651,1696,350,54
중구,2024,463201,413582,43340,4813,1466,2.78,131214,133576,85767,47751,38016,41851,4641,1318,25473,25362,103,0,8,301748,301747,2,0,0,2404,707,1385,172,140
중랑구,2020,441390,396827,35064,9389,110,0.84,399562,123561,82943,51207,31736,33840,6778,0,4022,1974,0,1971,77,312042,311350,191,501,0,1765,560,1033,139,33
중랑구,2021,494909,449999,34963,9920,27,0.74,391885,105213,64188,33497,30691,33476,7527,23,6204,4126,0,2078,0,381425,381123,155,146,0,2067,562,1332,169,4
중랑구,2022,318053,274838,34833,7475,907,0.73,390140,104375,63404,32872,30532,33253,6819,900,3798,3256,12,530,0,207985,207602,383,0,0,1895,577,1186,125,7
중랑구,2023,204166,162673,36621,4509,362,0.68,387470,96847,57284,28112,29172,35055,4233,275,3464,3412,0,52,0,101667,101330,337,0,0,2188,647,1228,225,88
중랑구,2024,320191,277911,38751,3062,467,0.76,385349,107223,66826,37464,29362,37416,2942,39,662,309,70,0,284,210101,210013,88,0,0,2204,764,1176,120,144
