"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,해역배출,기타
"2004","합계",도봉구,20.80,383611,20.80,383611,100.0,627.2,627.2,100.0,627.2,123.9,-,502.9,-,-
"2004","합계",노원구,35.42,630555,35.42,630555,100.0,2050.9,2050.9,100.0,2050.9,59.9,162.7,1828.3,-,-
"2004","합계",은평구,29.71,480320,29.71,480320,100.0,920.0,920.0,100.0,920.0,307.5,6.7,605.8,-,-
"2004","합계",서대문구,17.61,358186,17.61,358186,100.0,1135.1,1135.1,100.0,1135.1,262.8,31.9,840.4,-,-
"2004","합계",마포구,23.87,388111,23.87,388111,100.0,1826.3,1826.3,100.0,1826.3,537.1,15.0,1274.2,-,-
"2004","합계",양천구,17.40,497642,17.40,497642,100.0,1076.6,1076.6,100.0,1076.6,135.3,212.0,729.3,-,-
"2004","합계",강서구,41.40,544762,41.40,544762,100.0,5163.0,5163.0,100.0,5163.0,2056.7,161.1,2436.6,508.6,-
"2004","합계",구로구,20.11,424725,20.11,424725,100.0,603.6,603.6,100.0,603.6,97.8,113.3,392.5,-,-
"2004","합계",금천구,13.01,266047,13.01,266047,100.0,650.8,650.8,100.0,650.8,317.6,15.5,314.2,3.5,-
"2004","합계",영등포구,24.56,415889,24.56,415889,100.0,2502.1,2502.1,100.0,2502.1,401.6,8.6,2086.2,5.7,-
"2004","합계",동작구,16.36,414199,16.36,414199,100.0,1409.9,1409.9,100.0,1409.9,259.1,11.6,1139.2,-,-
"2004","합계",관악구,29.57,535688,29.57,535688,100.0,1423.6,1423.6,100.0,1423.6,612.7,38.5,772.4,-,-
"2004","합계",서초구,47.04,406752,47.04,406752,100.0,2571.9,2571.9,100.0,2571.9,563.9,11.7,1996.3,-,-
"2004","합계",강남구,39.54,539333,39.54,539333,100.0,4574.6,4574.6,100.0,4574.6,1299.6,200.5,2832.2,242.3,-
"2004","합계",송파구,33.88,608439,33.88,608439,100.0,3388.4,3388.4,100.0,3388.4,389.9,18.2,2965.3,15.0,-
"2004","합계",강동구,24.58,473411,24.58,473411,100.0,2175.9,2175.9,100.0,2175.9,1110.3,26.3,1039.3,-,-
"2005","합계",소계,605.40,10297004,608.00,10297004,100.0,32317.0,32317.0,100.0,32317.0,3911.0,1233.0,26043.0,1130.0,0.0
"2005","합계",종로구,23.91,173861,24.00,173861,100.0,2133.0,2133.0,100.0,2133.0,219.0,7.0,1907.0,0.0,0.0
"2005","합계",중구,9.96,134420,10.00,134420,100.0,1016.0,1016.0,100.0,1016.0,94.0,154.0,768.0,0.0,0.0
"2005","합계",용산구,21.87,240077,22.00,240077,100.0,734.0,734.0,100.0,734.0,60.0,94.0,580.0,0.0,0.0
"2005","합계",성동구,16.85,342691,17.00,342691,100.0,1613.0,1613.0,100.0,1613.0,177.0,10.0,1036.0,390.0,0.0
"2005","합계",광진구,17.06,380480,17.00,380480,100.0,1039.0,1039.0,100.0,1039.0,107.0,13.0,919.0,0.0,0.0
"2005","합계",동대문구,14.22,386280,14.00,386280,100.0,1275.0,1275.0,100.0,1275.0,205.0,10.0,1060.0,0.0,0.0
"2005","합계",중랑구,18.50,429922,19.00,429922,100.0,745.0,745.0,100.0,745.0,123.0,6.0,616.0,0.0,0.0
"2005","합계",성북구,24.56,467308,25.00,467308,100.0,1137.0,1137.0,100.0,1137.0,163.0,14.0,960.0,0.0,0.0
"2005","합계",강북구,23.60,355334,24.00,355334,100.0,747.0,747.0,100.0,747.0,124.0,0.0,623.0,0.0,0.0
