"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","강북구",2010,88.5,-,-,88.5,72.5,10.5,-,5.5
"서울시","강북구",2011,88.3,-,-,88.3,68.4,19.9,-,-
"서울시","강북구",2012,89.7,-,-,89.7,89.2,0.4,-,0.1
"서울시","강북구",2013,87.7,-,-,87.7,87.6,-,-,0.1
"서울시","강북구",2014,87.7,-,-,87.7,87.6,0.1,-,-
"서울시","강북구",2015,88.6,-,-,88.6,88.0,0.6,-,-
"서울시","강북구",2016,84.5,-,-,84.5,27.2,57.3,-,-
"서울시","강북구",2017,78.7,-,-,78.7,8.0,70.7,-,-
"서울시","강북구",2018,75.9,-,-,75.9,7.9,62.5,-,5.5
"서울시","강북구",2019,73.5,-,-,73.5,7.5,66.0,-,-
"서울시","강북구",2020,68.7,-,-,68.7,2.2,66.3,-,0.2
"서울시","강북구",2021,64.3,-,-,64.3,1.7,62.0,-,0.5
"서울시","강북구",2022,63.2,-,-,63.2,2.3,60.3,-,0.5
"서울시","강북구",2023,60.6,-,-,60.6,1.9,21.0,-,37.8
"서울시","도봉구",2004,72.3,2.1,-,70.2,-,-,-,-
"서울시","도봉구",2005,87.0,-,-,87.0,87.0,-,-,-
"서울시","도봉구",2006,104.6,-,-,104.6,104.6,-,-,-
"서울시","도봉구",2007,98.6,-,-,98.6,98.5,0.1,-,-
"서울시","도봉구",2008,100.8,-,-,100.8,100.6,-,-,0.2
"서울시","도봉구",2009,101.9,-,-,101.9,101.1,0.4,-,0.4
"서울시","도봉구",2010,98.4,-,-,98.4,97.8,0.3,-,0.3
"서울시","도봉구",2011,93.9,-,-,93.9,93.3,0.5,-,0.2
"서울시","도봉구",2012,95.0,-,-,95.0,94.2,0.3,-,0.5
"서울시","도봉구",2013,91.7,-,-,91.7,91.5,0.1,-,0.1
"서울시","도봉구",2014,98.1,-,-,98.1,98.1,-,-,-
"서울시","도봉구",2015,96.9,-,-,96.9,96.9,-,-,-
"서울시","도봉구",2016,90.7,-,-,90.7,89.6,1.1,-,-
"서울시","도봉구",2017,82.4,-,-,82.4,80.6,1.6,-,0.2
"서울시","도봉구",2018,78.3,-,-,78.3,76.2,1.9,-,0.2
"서울시","도봉구",2019,78.2,-,-,78.2,76.8,1.4,-,-
"서울시","도봉구",2020,72.8,-,-,72.8,70.5,2.0,-,0.3
"서울시","도봉구",2021,72.0,-,-,72.0,69.1,2.0,-,0.9
"서울시","도봉구",2022,71.8,-,-,71.8,69.1,2.2,-,0.5
"서울시","도봉구",2023,74.0,-,-,74.0,67.6,5.1,-,1.2
"서울시","노원구",2004,148.7,-,-,148.7,-,-,-,-
"서울시","노원구",2005,155.0,-,-,155.0,101.0,54.0,-,-
"서울시","노원구",2006,157.3,-,-,157.3,151.3,6.1,-,-
"서울시","노원구",2007,164.6,-,-,164.6,152.1,12.5,-,-
"서울시","노원구",2008,167.7,-,-,167.7,135.6,32.0,-,0.1
"서울시","노원구",2009,165.6,-,-,165.6,124.0,40.8,-,0.8
"서울시","노원구",2010,160.0,-,-,160.0,126.8,30.4,-,2.8
