대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률,음식물총량,가정_소계,가정_단독주택,가정_공동주택,가정_소형음식점,다량배출사업장_소계,다량배출사업장_집단급식소,다량배출사업장_음식점200이상,다량배출사업장_대규모점포,다량배출사업장_농수산시장,다량배출사업장_관광숙박시설,사업장폐기물배출자_소계,사업장폐기물배출자_집단급식소,사업장폐기물배출자_음식점200이상,사업장폐기물배출자_대규모점포,사업장폐기물배출자_농수산시장,사업장폐기물배출자_관광숙박시설
계,강동구,2023,122793,87690,49144,38546,20634,14436,33,0.73,336.4,463318,589260,546547,122793,87690,,,95364,88299,371103,370558,4949,1759,92.8,105.6,88,32.4,44.7,10.9,14.5,9.2,5.2,,,,3.1,1.8,0.2,1.1,,
계,강동구,2024,129564,84538,46483,38055,33808,10643,574,0.74,354,481474,523007,471647,129564,84538,,,92905,86982,300538,300127,4468,1738,90.2,,,,,,,,,,,,,,,,,
계,강북구,2000,422.8,239.7,182,57.7,1.3,181.8,,,,,,744,,245,,,,,,499,,,,,,,,,,,,,,,,,,,,
계,강북구,2001,428.5,237.5,177.7,59.8,1.3,189.7,,,,,,1025,,238,,,,,,787,,,,,,,,,,,,,,,,,,,,
계,강북구,2002,432.3,232.7,179.4,53.3,0.2,199.4,,,,,,835,,233,,,,,,602,,,,,,,,,,,,,,,,,,,,
계,강북구,2003,387.8,191.8,153.4,38.4,1.7,194.3,,,,,,440,,192,,,,,,248,,,,,,,,,,,,,,,,,,,,
계,강북구,2004,374.9,199.5,121,78.5,5.2,170.2,,,,,,513,,152,,48,,,,313,,2,,,,,,,,,,,,,,,,,,
계,강북구,2005,354,236.6,153.4,83.2,,117.4,,,,,,1289,,154,,83,,,,1052,,1,,,,,,,,,,,,,,,,,,
계,강북구,2006,350.4,235.9,155.4,80.5,6.5,108,,,,,,657,,144,,81,,1,,432,,1,,,,,,,,,,,,,,,,,,
계,강북구,2007,346,230.5,146,84.5,40.9,74.6,,,,,,872,,146,,85,,,,641,,2,,,,,,,,,,,,,,,,,,
계,강북구,2008,327.3,231.8,143.5,88.3,54.2,41.3,,,,,,1028,,144,,88,,,,796,,2,,,,,,,,,,,,,,,,,,
계,강북구,2009,315.7,223.3,133.6,89.7,76,16.4,,0.92,315.7,343912,,942,,134,,90,,,,719,,2,,,,,,,,,,,,,,,,,,
계,강북구,2010,233.4,145.4,56.9,88.5,77.2,10.8,,0.67,233.4,350007,901.2,792.1,144.9,56.9,88.5,88.5,,,667.8,646.7,5.5,3.8,,,,,,,,,,,,,,,,,,
계,강북구,2011,242.9,157.6,69.3,88.3,75,10.3,,0.7,242.9,348740,798.9,683,154.5,69.2,88.4,88.4,37,37,519,488.4,12.9,3.1,,,,,,,,,,,,,,,,,,
계,강북구,2012,242.5,164.4,74.7,89.7,76.1,2,,0.7,242.5,346493,875.6,794.2,152.8,74.7,89.7,89.7,16,16,617.1,613.8,5.7,3.4,,,,,,,,,,,,,,,,,,
계,강북구,2013,232.6,156.1,68.4,87.7,69.9,6.6,,0.68,232.6,341921,832.6,754.4,144.9,68.4,87.7,87.7,12.8,12.8,587.2,585.5,5.2,3.5,,,,,,,,,,,,,,,,,,
계,강북구,2014,232,150.3,62.6,87.7,66.2,15.5,,0.69,232,338410,744.2,661.2,144.3,62.6,87.7,87.7,10.4,10.4,501.8,500.5,3.1,1.5,,87.7,81.5,49.4,23.9,8.2,6.2,2.3,2.7,0.9,,0.3,,,,,,
계,강북구,2015,230.2,152.7,64.1,88.6,66,11.5,,0.69,230.2,334426,1049.9,970.6,141.6,64.1,88.6,88.6,,,819.7,817.9,5.7,1.9,,88.6,78.8,40.3,25.4,13.1,9.8,4,4.8,0.6,,0.4,,,,,,
계,강북구,2016,230,154.8,70.3,84.5,67.2,8,,0.7,230,330704,885.1,808.2,145.5,70.3,84.5,84.5,,,655.1,653.4,3.9,1.7,,84.5,75.3,37,23.4,14.9,9.2,3.9,4.4,0.6,,0.3,,,,,,
계,강북구,2017,224.9,153.7,74.9,78.8,64.6,6.6,,0.69,224.9,328002,908.1,835.6,146.1,74.9,78.8,78.8,,,683.2,681.9,3.3,1.3,,78.7,69.5,33.3,23.3,12.9,9.2,4.2,4,0.8,,0.2,,,,,,
계,강북구,2018,230.6,155.4,79.5,75.9,69.1,6.1,,0.71,230.6,322915,832.8,755.8,154.7,79.5,75.9,75.9,,,602.2,600.4,3.5,1.1,,75.9,68.1,32,24,12.1,7.8,3.7,3.5,0.5,,0.1,,,,,,
계,강북구,2019,251.2,175.3,101.7,73.6,69,6.9,,0.79,251.2,317695,847.5,770.8,177.7,101.8,73.5,73.5,,,596.3,595.5,3.5,1.3,,73.5,65.8,30.3,22.8,12.7,6.9,3.8,3,,,0.1,0.8,,,0.8,,
계,강북구,2020,88989,53419,28260,25158,32484,3086,,0.78,243.1,311569,305460,268679,88989,53419,,,702,29,215768,215232,1351,458,88,68.7,63.3,32.8,21,9.5,4.7,2.6,2.1,,,0.1,0.7,,,0.7,,
계,강북구,2021,94407,63804,40369,23436,25501,2504,2597,0.85,258.6,302563,360811,329745,94407,63804,,,386,,266018,265940,1604,519,91.4,64.3,58.6,32.1,19.1,7.4,5.2,3.3,1.8,,,0.1,0.5,,,0.5,,
계,강북구,2022,89627,61272,38208,23065,24914,2157,1284,0.83,245.6,297702,269837,241345,89627,61272,,,666,666,179543,179407,1616,502,89.4,63.2,56.6,32.9,17,6.7,6.1,3.7,2.3,,,0.1,0.5,,,0.5,,
계,강북구,2023,88886,62128,40003,22125,24499,2223,35,0.83,243.5,292977,211964,184974,88886,62128,,,412,192,122666,122655,1492,578,87.3,60.6,53.3,27.3,16.9,9.1,6.7,3.8,2.9,,,0,0.5,,,0.5,,
계,강북구,2024,83607,57254,35218,22037,24101,2252,,0.79,228.4,289374,247351,220965,83607,57254,,,45,45,163698,163666,1760,912,89.3,,,,,,,,,,,,,,,,,
계,강서구,2000,532.6,256,215,41,6.1,270.5,,,,,,1182,,249,,,,35,,898,,,,,,,,,,,,,,,,,,,,
계,강서구,2001,567.5,287.3,240.2,47.1,10.8,269.4,,,,,,3436,,287,,,,21,,3127,,,,,,,,,,,,,,,,,,,,
계,강서구,2002,560.3,295.7,248.3,47.4,7.4,257.2,,,,,,3737,,296,,,,14,,3427,,,,,,,,,,,,,,,,,,,,
계,강서구,2003,594,357.6,279.1,78.5,12.3,224.1,,,,,,1172,,358,,,,127,,688,,,,,,,,,,,,,,,,,,,,
계,강서구,2004,510.4,299.5,186.5,113,11.9,199,,,,,,2437,,188,,112,,77,,2061,,4,,,,,,,,,,,,,,,,,,
계,강서구,2005,507.6,338.3,164.5,173.8,15.7,153.6,,,,,,1583,,164,,174,,209,,1036,,3,,,,,,,,,,,,,,,,,,
계,강서구,2006,444.5,283.3,94.6,188.7,12.5,148.7,,,,,,3487,,173,,189,,9,,3117,,2,,,,,,,,,,,,,,,,,,
계,강서구,2007,537.8,339.2,148.5,190.7,94.8,103.8,,,,,,1756,,148,,191,,164,,1253,,3,,,,,,,,,,,,,,,,,,
계,강서구,2008,520.5,378.3,173.3,205,88.6,53.6,,,,,,1920,,173,,205,,276,,1265,,3,,,,,,,,,,,,,,,,,,
계,강서구,2009,570.9,449.7,237.2,212.5,60.4,60.8,,0.99,570.9,579196,,1595,,237,,213,,253,,892,,2,,,,,,,,,,,,,,,,,,
계,강서구,2010,671.4,450,235.3,214.7,77.2,144.2,,1.16,671.4,580506,3354,2434.1,456.7,235.3,214.7,214.7,753.1,118.3,1929.5,1865.8,9.9,2.8,,,,,,,,,,,,,,,,,,
계,강서구,2011,429.8,316.1,112.1,204,91.2,22.5,,0.75,429.8,575846,4880.2,3596.3,225.7,112,204.1,204.1,695.6,25.3,3754.8,3254.9,16.1,7.5,,,,,,,,,,,,,,,,,,
계,강서구,2012,399.1,286.1,86.5,199.6,96.8,16.2,,0.7,399.1,573794,3737.5,2236.8,199.5,86.5,199.6,199.6,772.3,212,2566.1,1738.7,7.1,2.2,,,,,,,,,,,,,,,,,,
계,강서구,2013,370.2,242.7,81.6,161.1,103.6,23.9,,0.64,370.2,575236,3174.1,2144.3,199.5,81.6,170.7,161.1,726.5,250.5,2077.4,1651.1,8.8,1.5,,,,,,,,,,,,,,,,,,
계,강서구,2014,436.8,305.4,135.3,170.1,102.3,29.1,,0.74,436.8,591653,3225.7,2401.7,266.7,135.3,170.1,170.1,643.8,126.8,2145.1,1969.5,7.9,2.9,,170.2,128.1,57.7,43.2,27.2,42.1,9.8,12.1,5.1,13.9,1.2,,,,,,
