대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타,주민1인당_생활폐기물_kg_일,생활계폐기물_톤_일,주민수,광역시도,재활용총량_발생량,재활용총량_재활용량,생활폐기물재활용통계_발생량,생활폐기물재활용통계_재활용량,음식물폐기물_발생량,음식물폐기물_재활용량,사업장배출시설계_발생량,사업장배출시설계_재활용량,건설폐기물_발생량,건설폐기물_재활용량,지정폐기물_발생량,지정폐기물_재활용량,재활용률
계,강북구,2017,224.9,153.7,74.9,78.8,64.6,6.6,,0.69,224.9,328002.0,서울시,908.1,835.6,146.1,74.9,78.8,78.8,,,683.2,681.9,3.3,1.3,
계,강북구,2018,230.6,155.4,79.5,75.9,69.1,6.1,,0.71,230.6,322915.0,서울시,832.8,755.8,154.7,79.5,75.9,75.9,,,602.2,600.4,3.5,1.1,
계,강북구,2019,251.2,175.3,101.7,73.6,69.0,6.9,,0.79,251.2,317695.0,서울시,847.5,770.8,177.7,101.8,73.5,73.5,,,596.3,595.5,3.5,1.3,
계,강북구,2020,88989.0,53419.0,28260.0,25158.0,32484.0,3086.0,,0.78,243.1,311569.0,서울시,305460.0,268679.0,88989.0,53419.0,,,702.0,29.0,215768.0,215232.0,1351.0,458.0,88.0
계,강북구,2021,94407.0,63804.0,40369.0,23436.0,25501.0,2504.0,2597.0,0.85,258.6,302563.0,서울시,360811.0,329745.0,94407.0,63804.0,,,386.0,,266018.0,265940.0,1604.0,519.0,91.4
계,강북구,2022,89627.0,61272.0,38208.0,23065.0,24914.0,2157.0,1284.0,0.83,245.6,297702.0,서울시,269837.0,241345.0,89627.0,61272.0,,,666.0,666.0,179543.0,179407.0,1616.0,502.0,89.4
계,강북구,2023,88886.0,62128.0,40003.0,22125.0,24499.0,2223.0,35.0,0.83,243.5,292977.0,서울시,211964.0,184974.0,88886.0,62128.0,,,412.0,192.0,122666.0,122655.0,1492.0,578.0,87.3
계,강북구,2024,83607.0,57254.0,35218.0,22037.0,24101.0,2252.0,,0.79,228.4,289374.0,서울시,247351.0,220965.0,83607.0,57254.0,,,45.0,45.0,163698.0,163666.0,1760.0,912.0,89.3
계,강서구,2000,532.6,256.0,215.0,41.0,6.1,270.5,,,,,서울시,,1182.0,,249.0,,,,35.0,,898.0,,,
계,강서구,2001,567.5,287.3,240.2,47.1,10.8,269.4,,,,,서울시,,3436.0,,287.0,,,,21.0,,3127.0,,,
계,강서구,2002,560.3,295.7,248.3,47.4,7.4,257.2,,,,,서울시,,3737.0,,296.0,,,,14.0,,3427.0,,,
계,강서구,2003,594.0,357.6,279.1,78.5,12.3,224.1,,,,,서울시,,1172.0,,358.0,,,,127.0,,688.0,,,
계,강서구,2004,510.4,299.5,186.5,113.0,11.9,199.0,,,,,서울시,,2437.0,,188.0,,112.0,,77.0,,2061.0,,4.0,
계,강서구,2005,507.6,338.3,164.5,173.8,15.7,153.6,,,,,서울시,,1583.0,,164.0,,174.0,,209.0,,1036.0,,3.0,
계,강서구,2006,444.5,283.3,94.6,188.7,12.5,148.7,,,,,서울시,,3487.0,,173.0,,189.0,,9.0,,3117.0,,2.0,
계,강서구,2007,537.8,339.2,148.5,190.7,94.8,103.8,,,,,서울시,,1756.0,,148.0,,191.0,,164.0,,1253.0,,3.0,
계,강서구,2008,520.5,378.3,173.3,205.0,88.6,53.6,,,,,서울시,,1920.0,,173.0,,205.0,,276.0,,1265.0,,3.0,
